STAID,ID,Month,Year,qmeas,0,1,2,3,4,5,6,7,8,9
T11237500,T11237500,7,2000,4.52,0.029461570622632414,1.1096439694172728,0.3501535522124353,1.021622396508183,-0.6481837066194657,0.2294502958700734,-0.19666441189511355,0.5802817720397249,0.24567634451790032,0.3446765246990274
T10308200,T10308200,7,1971,516.74,1.006892383703805,0.020828394234937802,-1.5395638968979228,-0.2604827736822936,0.22815456462531766,0.24594705423375343,0.2777913370898343,0.03321245639157852,-0.2317881825247511,0.21740223500449604
T11264500,T11264500,7,1970,322.1,1.2983472354638774,0.3406503184462836,0.8873092448977696,-0.18065028113860432,0.054467433537655194,-0.2547347611528774,0.0651734390684602,-0.40758182326745196,-0.04267327665973842,-0.3046070171692051
T11284400,T11284400,7,1993,0.14,-3.834160955960117,1.3128847636966445,-0.6665839423248464,-0.6492864538808945,-0.808061092550736,0.08015152760724076,-0.11658050068451134,-0.4049641414384261,0.24317912593217156,0.1719297592170998
T10336660,T10336660,7,1977,3.73,0.5771528775950803,-1.2970916889844137,-1.0351597021535446,-0.15161126205324163,0.33586936824351066,-0.9163371641209604,0.4631607205687812,-0.17911726886189275,-0.07911290487821901,0.2914876993382532
T11264500,T11264500,7,1977,53.87,1.1730937950521485,0.4835452196775917,0.7944117308201596,-0.16010344532330964,0.19121075200408946,-0.29377831071619853,0.40224954930947543,-0.4415182060726161,0.27906055147966796,-0.3626637256054403
T11409300,T11409300,7,1975,9.05,-2.779226091601287,-2.094972474353632,0.5039620256669397,-0.7931221897932708,-0.08540162087229332,-0.01603931428110416,0.07910351099773133,0.3006250188788058,0.20575361922298763,-0.3120779282600705
T10336580,T10336580,7,2001,3.75,1.5329147793401368,-0.5646034686031828,-0.0697263050859627,0.10699692537985862,0.8377723048172375,1.0629703600927187,0.1745717417970628,0.36164778056797886,0.36182585593658123,-0.24733070545820157
T10291500,T10291500,7,1962,111.39,1.7223720390286898,0.6066136122434085,-1.1381974428029848,-1.1761114433027842,-0.9024833402039352,1.1124700811678936,0.811431317114071,0.13022192684064127,0.011131515415170802,0.27161689698397234
T11264500,T11264500,7,1985,125.94,1.270955997657239,0.39722949660551043,0.8239775308321259,-0.1914089406402083,0.11220161549611077,-0.27845057599156764,0.23594690912282149,-0.44615581874304927,0.08405559144789103,-0.4118585515088614
T10336645,T10336645,7,2000,1.74,0.49633912090811527,-0.3175517454415334,0.1464505603724105,1.2061339934205935,-0.2732416806218637,-0.09863956339444381,0.6300802217788277,0.00272015265250723,-0.0028652767479614874,-0.14397363973286148
T11281000,T11281000,7,1991,15.49,-1.9915672334688967,1.3735428997677168,0.2058193827008633,0.10207688014970803,0.805324986103318,-0.16177639261337945,-0.022406441203729498,0.14206635021646813,0.06195003934437607,-0.183708266653651
T11284400,T11284400,7,1988,0.0,-3.7890488474284902,1.4182424293585432,-0.7221322891223351,-0.6889660617411479,-0.7579013492677124,0.02255245888899325,-0.06437260781395902,-0.47255328747344777,0.35783197272451434,-0.04197062034779472
T11237500,T11237500,7,2007,0.47,0.13584014516693257,1.20487260320535,0.29170735817910215,0.9309209368354125,-0.6442835921154314,0.1754539824130194,-0.19641998404317992,0.4541319872041154,0.33640147014740984,0.027491871640189895
T11226500,T11226500,7,1977,109.45,1.3533263452053965,0.05917848882596553,0.14514488889722701,-0.5744579701279439,0.3119452930584296,-0.12050850966624012,-0.26292018301524644,-0.7975028117631505,0.026704995642384134,-0.27367200687641713
T11266500,T11266500,7,1989,186.0,0.7353288284178392,0.4406246112158864,0.8542135804179614,-0.0750289734958344,0.13749341368987053,-0.33246234722956397,0.4660491225262851,-0.3754055684874629,0.02262148475614852,-0.21279978505723612
T11315000,T11315000,7,1997,2.52,0.20947472305164355,-0.6142465888146227,0.9098710639156539,1.0402993905114513,-0.30948176487523843,0.2894056245012727,0.49841224904126996,-0.6132020404188817,-0.07708937578367715,0.25393374754813836
T11284400,T11284400,7,1974,0.34,-3.790701101457413,1.35525254945597,-0.6929737264525219,-0.6858875168037734,-0.7961046475171384,0.04130789914825473,-0.09589680683062993,-0.4262829119408657,0.2735239923030539,0.0399390482073484
T11334300,T11334300,7,1971,2.9,-3.582894679808285,0.6485763819700268,-0.7211663513033119,-0.2979184133698131,-0.3421931318850271,-0.01724870439076866,-0.18831355644885886,-0.469105663297852,0.18473342439826296,-0.078619382487469
T11237500,T11237500,7,2009,3.92,0.10466171624492861,1.1185575911698962,0.3228665532747709,0.9969405010378112,-0.6520856669497369,0.2343929955077653,-0.22439441573714555,0.5479762564879619,0.2087580780383582,0.27724100910531235
T10308200,T10308200,7,1999,482.03,1.0209199716857846,0.0013359673846998325,-1.526285780881277,-0.2719409657022237,0.19315775608901978,0.23292768972212458,0.19271002919578184,0.04198358248379137,-0.26494166329433705,0.17727174452884897
T11266500,T11266500,7,1952,1352.26,0.8026855754319967,0.3831593441251139,0.889265630379702,-0.0796280893972054,0.07120018602886422,-0.31230081249585884,0.34909174258659315,-0.3134043851888585,-0.11737697663692724,-0.10727534591531013
T11409300,T11409300,7,1995,12.96,-2.8422633177564,-2.4191755865999904,0.6612486147188245,-0.6359097530096133,-0.17099121270361456,0.17141677494777477,-0.16558177513756409,0.5406579962563433,-0.2740136951283188,0.43366345266521095
T11213500,T11213500,7,1960,385.19,0.929810411815852,1.4523821567150628,0.2804776527478605,-0.603304734965369,-0.0551260633181273,-0.43166773183718615,-0.2090289343507256,0.1118481881544361,-0.3014994078814533,-0.03812010113564148
